id,source,reference,adapter_prediction,adapter_hybrid_prediction,corpus,adapter_comet,adapter_hybrid_comet,comet_difference
0,Montón en la parte superior derecha. El resto de la baraja se coloca aquí después de dar en el tablero. Las cartas se dan después de concatenar las cartas del tablero en los huecos vacíos.,Top left pile. The rest of the deck is placed here after dealing the Tableau. Cards are dealt after concatenating the Tableau onto the empty slots.,Top right pile. The rest of the deck is placed here after dealing on to the Tableau. Cards are dealt after building up the Tableau in the empty slots.,Top right pile. The rest of the deck is placed here after dealing on to Tableau. Cards are dealt after concatenating Tableau cards into empty slots.,gnome,0.7883235812187195,0.814938485622406,0.026614904403686523
1,La eficacia de la conexión entre el mando del sistema de frenado de servicio y los diferentes componentes de los sistemas de transmisión no deberá disminuir después de un período de uso determinado.,the effectiveness of the linkage between the control of the service braking system and the different components of the transmission systems must not be liable to diminish after a certain period of use;,The effectiveness of the connection between the service brake control unit and the various components of the transmission systems shall not be reduced after a specified period of use.,The effectiveness of the connection between the service brake control unit and the various components of the transmission systems shall not be reduced after a specified period of use.,dgt,0.8614093065261841,0.8614093065261841,0.0
2,"- 6 041 FB , si trabajara en régimen de servicio continuo .",- Bfrs 6 041 - where the department operates on a continuous basis.,"- 6 041 FB , if working on a continuous service basis . ","- 6 041 FB , if working on a continuous service basis .",jrc_acquis,0.627308189868927,0.627308189868927,0.0
3,Sonido 2: La frecuencia fundamental de la nota que suene por separado será de 370 Hz ± 20 Hz (nota baja).,Sounding 2: the fundamental frequency of the separately sounded note shall be 370 Hz ± 20 Hz (low note).,Sound 2: The fundamental frequency of the note that sounds alone will be 370 Hz ± 20 Hz (low note).,Sound 2: The fundamental frequency of the note that sounds alone shall be 370 Hz ± 20 Hz (low note).,dgt,0.8478029370307922,0.8545055985450745,0.0067026615142822266
4,Repartos ilimitados,Unlimited redeals,Unlimited distributions,Unlimited distributions,gnome,0.8342800736427307,0.8342800736427307,0.0
5,Vista de árbol accesible,Accessible tree view,Tree view accessible,Tree View,gnome,0.9156329035758972,0.8537567257881165,-0.06187617778778076
6,"Fecha y lugar de nacimiento: 30.1.1961, Suho Pole, Doboj, Bosnia y Herzegovina, RFSY","Date of birth/Place of birth: 30.1.1961, Suho Pole, Doboj, Bosnia and Herzegovina, SFRY","Date and place of birth: 30.1.1961, Suho Pole, Doboj, Bosnia and Herzegovina, RFSY","Date and place of birth: 30.1.1961, Suho Pole, Doboj, Bosnia and Herzegovina, RFSY",dgt,0.9020261168479919,0.9020261168479919,0.0
7,Cuatro montones en la parte superior derecha. Se construye ascendentemente por palo desde el as hasta el rey. Las cartas de la fundación no entran más en juego.,Four piles top right. To be built up in suit from Ace to King. Cards in Foundations are no longer in play.,Four piles top right. To be built up in suit from Ace to King. Foundation cards are no longer in play.,Four piles on top right. To be built up by suit from Ace to King. Foundation cards are no longer in play.,gnome,0.8545883297920227,0.8383848071098328,-0.01620352268218994
8,La lista de autoridades competentes está publicada en el sitio web de la Comisión:,The list of competent authorities is published on the website of the Commission:,The list of competent authorities is published on the Commission’s website:,The list of competent authorities is published on the Commission’s website:,dgt,0.9426259994506836,0.9426259994506836,0.0
9,La garantía prevista en los párrafos 3.2 y 3.4 se liberará cuando ya no sea necesaria.,The guarantee as set out in paragraphs 3.2 and 3.4 shall be discharged when it is no longer required.,The guarantee provided for in paragraphs 3.2 and 3.4 shall be released when it is no longer necessary.,The guarantee provided for in paragraphs 3.2 and 3.4 shall be released when it is no longer necessary.,dgt,0.9125774502754211,0.9125774502754211,0.0
