id,source,reference,base_prediction,adapter_prediction,corpus,base_comet,adapter_comet,comet_difference
0,Montón en la parte superior derecha. El resto de la baraja se coloca aquí después de dar en el tablero. Las cartas se dan después de concatenar las cartas del tablero en los huecos vacíos.,Top left pile. The rest of the deck is placed here after dealing the Tableau. Cards are dealt after concatenating the Tableau onto the empty slots.,Stack on the top right. The rest of the deck is placed here after laying down on the board. Cards are dealt after concatenating the board cards in the empty spaces.,Top right pile. The rest of the deck is placed here after dealing on to the Tableau. Cards are dealt after building up the Tableau in the empty slots.,gnome,0.7568471431732178,0.7883235812187195,0.03147643804550171
1,La eficacia de la conexión entre el mando del sistema de frenado de servicio y los diferentes componentes de los sistemas de transmisión no deberá disminuir después de un período de uso determinado.,the effectiveness of the linkage between the control of the service braking system and the different components of the transmission systems must not be liable to diminish after a certain period of use;,The effectiveness of the connection between the system brake control and the various components of the transmission systems shall not be reduced after a specified period of use.,The effectiveness of the connection between the service brake control unit and the various components of the transmission systems shall not be reduced after a specified period of use.,dgt,0.8555101752281189,0.8614093065261841,0.0058991312980651855
2,"- 6 041 FB , si trabajara en régimen de servicio continuo .",- Bfrs 6 041 - where the department operates on a continuous basis.,"- 6,041 FB, if working in continuous service regime.","- 6 041 FB , if working on a continuous service basis . ",jrc_acquis,0.6318143010139465,0.627308189868927,-0.004506111145019531
3,Sonido 2: La frecuencia fundamental de la nota que suene por separado será de 370 Hz ± 20 Hz (nota baja).,Sounding 2: the fundamental frequency of the separately sounded note shall be 370 Hz ± 20 Hz (low note).,Sound 2: The fundamental frequency of the note that sounds alone will be 370 Hz ± 20 Hz (low note).,Sound 2: The fundamental frequency of the note that sounds alone will be 370 Hz ± 20 Hz (low note).,dgt,0.8478029370307922,0.8478029370307922,0.0
4,Repartos ilimitados,Unlimited redeals,Unlimited distributions,Unlimited distributions,gnome,0.8342800736427307,0.8342800736427307,0.0
5,Vista de árbol accesible,Accessible tree view,Accessible tree view,Tree view accessible,gnome,0.9850766062736511,0.9156329035758972,-0.0694437026977539
6,"Fecha y lugar de nacimiento: 30.1.1961, Suho Pole, Doboj, Bosnia y Herzegovina, RFSY","Date of birth/Place of birth: 30.1.1961, Suho Pole, Doboj, Bosnia and Herzegovina, SFRY","Date and place of birth: 30.1.1961, Suho Pole, Doboj, Bosnia and Herzegovina, SFR Yugoslavia","Date and place of birth: 30.1.1961, Suho Pole, Doboj, Bosnia and Herzegovina, RFSY",dgt,0.8928426504135132,0.9020261168479919,0.00918346643447876
7,Cuatro montones en la parte superior derecha. Se construye ascendentemente por palo desde el as hasta el rey. Las cartas de la fundación no entran más en juego.,Four piles top right. To be built up in suit from Ace to King. Cards in Foundations are no longer in play.,Four piles on the upper right. It builds up by suit from ace to king. The foundation cards do not enter play again.,Four piles top right. To be built up in suit from Ace to King. Foundation cards are no longer in play.,gnome,0.7607965469360352,0.8545883297920227,0.09379178285598755
8,La lista de autoridades competentes está publicada en el sitio web de la Comisión:,The list of competent authorities is published on the website of the Commission:,The list of competent authorities is published on the Commission's website:,The list of competent authorities is published on the Commission’s website:,dgt,0.9420605301856995,0.9426259994506836,0.0005654692649841309
9,La garantía prevista en los párrafos 3.2 y 3.4 se liberará cuando ya no sea necesaria.,The guarantee as set out in paragraphs 3.2 and 3.4 shall be discharged when it is no longer required.,The guarantee provided for in paragraphs 3.2 and 3.4 will be released when it is no longer necessary.,The guarantee provided for in paragraphs 3.2 and 3.4 shall be released when it is no longer necessary.,dgt,0.8979536890983582,0.9125774502754211,0.014623761177062988
10,"Resulta necesario, en dicho contexto, prever condiciones que garanticen la utilización del azúcar para los fines previstos.","In this connection, it is necessary to ensure that the sugar is actually put to the intended use.","It is necessary, in this context, to foresee conditions that ensure the use of sugar for the intended purposes.","In this context, it is necessary to provide conditions that ensure the use of sugar for the intended purposes.",jrc_acquis,0.8125157356262207,0.8263213038444519,0.013805568218231201
11,Pasteles,Cakes,Cakes,Cakes,dgt,0.9837912917137146,0.9837912917137146,0.0
12,Aprueba el cierre de las cuentas relativas a la ejecución del presupuesto general de la Unión Europea para el ejercicio 2003;,Approves the closure of the accounts in respect of the implementation of the general budget for the financial year 2003;,Approves the closure of the accounts relating to the execution of the general budget of the European Union for the year 2003;,Approves the closure of the accounts relating to the implementation of the general budget of the European Union for the financial year 2003;,jrc_acquis,0.8608199954032898,0.8738173246383667,0.012997329235076904
13,"Si no es posible obtener el tiempo t en una sola operación de frenado, podrá repetirse la operación sin que el número de repeticiones exceda de cuatro.","If the time t cannot be completed in a single braking phase, further phases may be used, up to a maximum of four in all.","If it is not possible to obtain the time t in a single braking operation, it may be repeated without the number of repetitions exceeding four.","If the time t cannot be obtained in a single braking operation, the operation may be repeated up to four times.",dgt,0.7824217677116394,0.8188499808311462,0.036428213119506836
14,"No obstante, debe mencionarse que, por lo que se refiere a los precios, los datos no son comparables debido a diferencias en la mezcla del producto, que dan lugar a variaciones considerables de precio.","It should be noted, however, that, as regards prices, the data are not comparable given the differences in the product mix, resulting in huge price differentials.","However, it should be noted that, as far as prices are concerned, the data are not comparable due to differences in the product mix, which result in considerable price variations.","However, it should be noted that, as far as prices are concerned, the data are not comparable due to differences in the product mix, which result in considerable price variations.",dgt,0.8993035554885864,0.8993035554885864,0.0
15,Las bases de la exención son el Decreto no 121/2010/ND-CP y el Decreto no 142/2005/ND-CP.,The bases for the exemption are Decree No 121/2010/ND-CP and Decree No 142/2005/ND-CP.,The bases of the exemption are Decree No. 121/2010/ND-CP and Decree No. 142/2005/ND-CP.,The bases of the exemption are Decree No. 121/2010/ND-CP and Decree No. 142/2005/ND-CP.,dgt,0.9410592317581177,0.9410592317581177,0.0
